Date,Close/Last,Volume,Open,High,Low
01/27/2025,$154.61,9820585,$150.92,$155.47,$150.895
01/24/2025,$149.12,4509550,$148.82,$149.31,$148.13
01/23/2025,$148.62,4759125,$148.49,$148.9399,$146.61
01/22/2025,$148.09,5905060,$148.23,$149.45,$147.79
01/21/2025,$148.55,7456182,$148.33,$149.78,$147.77
01/17/2025,$148.25,7338870,$147.72,$148.62,$147.17
01/16/2025,$146.54,5068040,$144.05,$146.79,$143.69
01/15/2025,$144.78,7141555,$145.49,$146.20,$144.17
01/14/2025,$144.95,6996448,$144.19,$145.14,$143.56
01/13/2025,$144.50,8101358,$142.79,$145.14,$142.14
01/10/2025,$142.64,9632651,$145.00,$145.575,$141.51
01/08/2025,$146.54,6791848,$145.40,$146.67,$144.56
01/07/2025,$145.40,7473300,$146.46,$147.97,$145.34
01/06/2025,$146.27,9470626,$149.60,$149.95,$146.10
01/03/2025,$149.65,5221639,$150.96,$150.96,$149.56
01/02/2025,$150.21,4970233,$152.88,$153.66,$149.89
12/31/2024,$152.06,4274960,$151.80,$153.15,$150.94
12/30/2024,$151.72,5397016,$152.66,$153.09,$151.09
12/27/2024,$152.89,4287007,$151.29,$153.47,$151.26
12/26/2024,$152.44,5529590,$152.53,$153.1799,$152.24
12/24/2024,$152.81,3399800,$150.50,$152.83,$150.41
12/23/2024,$151.29,6822232,$152.41,$152.41,$149.7056
12/20/2024,$152.79,19205160,$150.86,$153.49,$150.51
12/19/2024,$151.47,9829489,$153.09,$154.0794,$151.41
12/18/2024,$154.43,7620865,$155.03,$155.83,$154.11
12/17/2024,$156.14,6572560,$155.74,$158.50,$155.24
12/16/2024,$156.02,6696490,$157.85,$158.82,$155.88
12/13/2024,$157.97,4353854,$157.53,$159.57,$157.06
12/12/2024,$158.90,6849507,$159.09,$159.40,$157.97
12/11/2024,$156.77,7925928,$160.21,$160.515,$156.26
12/10/2024,$159.84,5329401,$159.00,$160.42,$157.35
12/09/2024,$159.47,8380406,$157.91,$161.50,$157.14
12/06/2024,$157.79,8359166,$159.35,$160.80,$157.69
12/05/2024,$160.49,5229646,$160.93,$161.01,$158.83
12/04/2024,$160.18,6964605,$160.60,$161.0327,$159.41
12/03/2024,$161.70,4277392,$162.84,$163.05,$161.42
12/02/2024,$163.05,4967612,$163.315,$163.65,$161.76
11/29/2024,$163.45,2799312,$161.43,$163.585,$160.95
11/27/2024,$162.72,3622893,$161.94,$165.13,$161.68
11/26/2024,$162.16,4653842,$163.27,$163.68,$161.90
11/25/2024,$163.05,8580393,$162.70,$163.59,$162.00
11/22/2024,$162.00,5846256,$160.90,$162.06,$159.89
11/21/2024,$160.34,5976987,$158.39,$160.50,$157.95
11/20/2024,$158.74,5067255,$156.45,$159.11,$156.20
11/19/2024,$156.72,8248864,$157.75,$157.87,$155.85
11/18/2024,$158.33,6992040,$159.405,$159.85,$157.76
11/15/2024,$158.62,9108948,$164.38,$164.38,$158.05
11/14/2024,$165.15,5422685,$164.74,$166.885,$163.83
11/13/2024,$164.74,4145443,$163.49,$164.80,$162.37
11/12/2024,$164.34,5386925,$164.09,$165.00,$163.15
11/11/2024,$164.26,3761969,$164.41,$166.15,$163.98
11/08/2024,$165.11,4618265,$163.84,$165.82,$163.645
11/07/2024,$164.00,5333532,$164.50,$164.90,$163.47
11/06/2024,$164.71,7849309,$167.37,$167.41,$163.60
11/05/2024,$167.85,3678708,$165.95,$167.96,$165.67
11/04/2024,$166.34,4885472,$165.59,$166.65,$165.1852
11/01/2024,$165.59,6339121,$166.09,$166.25,$165.21
10/31/2024,$166.08,5582423,$166.10,$167.5048,$165.81
10/30/2024,$166.21,4801541,$167.00,$167.6399,$166.08
10/29/2024,$167.50,5127890,$169.20,$169.20,$166.97
10/28/2024,$169.84,5186635,$172.98,$172.98,$169.725
10/25/2024,$171.79,4442863,$172.47,$174.00,$171.60
10/24/2024,$172.16,4244903,$172.92,$173.535,$171.70
10/23/2024,$172.95,3800654,$173.70,$173.84,$172.47
10/22/2024,$174.37,3790452,$174.51,$174.95,$173.505
10/21/2024,$175.01,6436516,$174.46,$177.50,$174.3487
10/18/2024,$175.06,5097170,$172.30,$175.33,$172.12
10/17/2024,$174.67,4125910,$174.38,$175.47,$173.695
10/16/2024,$174.48,4400852,$175.01,$175.33,$173.63
10/15/2024,$175.90,5802290,$176.355,$177.39,$175.12
10/14/2024,$176.10,4536048,$174.955,$176.27,$174.44
10/11/2024,$174.81,4720299,$174.00,$175.175,$172.87
10/10/2024,$172.99,5292404,$172.07,$173.06,$171.22
10/09/2024,$172.54,7177529,$169.38,$173.28,$169.10
10/08/2024,$170.42,8297792,$167.72,$170.65,$166.85
10/07/2024,$167.21,5459506,$167.72,$167.93,$166.455
10/04/2024,$167.97,4391321,$167.15,$168.50,$166.82
10/03/2024,$168.53,5090330,$168.14,$169.105,$167.17
10/02/2024,$169.55,5785972,$171.50,$171.74,$168.52
10/01/2024,$171.38,7095860,$171.29,$171.94,$169.77
09/30/2024,$170.05,5054615,$170.58,$171.74,$169.58
09/27/2024,$170.00,7545935,$169.96,$171.645,$169.68
09/26/2024,$169.69,5673635,$169.22,$171.00,$168.68
09/25/2024,$169.40,4505130,$170.40,$170.765,$168.7623
09/24/2024,$169.92,7837853,$170.99,$171.60,$169.50
09/23/2024,$172.11,5350483,$170.87,$173.94,$170.725
09/20/2024,$171.18,12198430,$172.57,$173.77,$170.22
09/19/2024,$174.66,5504038,$175.75,$176.22,$174.15
09/18/2024,$175.21,5307852,$176.86,$178.06,$174.43
09/17/2024,$176.87,6305100,$177.00,$178.09,$176.30
09/16/2024,$177.21,4940100,$179.00,$179.425,$176.35
09/13/2024,$177.36,3290404,$177.445,$177.96,$176.365
09/12/2024,$177.25,4224894,$175.78,$177.69,$173.95
09/11/2024,$175.78,4035975,$177.44,$177.75,$174.425
09/10/2024,$177.81,4315764,$178.65,$179.10,$177.64
09/09/2024,$178.19,4666169,$177.05,$178.79,$175.855
09/06/2024,$177.34,6395276,$177.44,$178.58,$177.00
09/05/2024,$179.30,5743141,$178.73,$179.73,$177.52
09/04/2024,$178.52,6188454,$177.90,$179.65,$176.29
09/03/2024,$177.54,7032051,$172.38,$177.89,$171.88
08/30/2024,$172.88,8677312,$172.06,$173.56,$171.25
08/29/2024,$172.09,4654540,$173.76,$173.96,$171.91
08/28/2024,$173.92,3915499,$175.55,$175.7432,$173.35
08/27/2024,$175.30,3520562,$176.31,$176.88,$174.52
08/26/2024,$175.97,4146861,$176.32,$176.84,$175.73
08/23/2024,$175.87,5283617,$176.63,$176.68,$173.67
08/22/2024,$175.74,5265989,$175.83,$176.08,$174.70
08/21/2024,$175.21,4020749,$175.94,$176.82,$174.6239
08/20/2024,$175.85,5330053,$173.53,$176.03,$172.50
08/19/2024,$173.82,3521653,$172.66,$173.98,$172.44
08/16/2024,$172.62,4614804,$172.52,$172.78,$171.1059
08/15/2024,$172.52,4472137,$173.71,$174.30,$171.83
08/14/2024,$173.71,3555959,$172.23,$174.34,$171.93
08/13/2024,$172.37,3894698,$171.62,$172.42,$170.22
08/12/2024,$171.42,3802411,$172.24,$172.87,$170.705
08/09/2024,$172.39,3223163,$172.09,$172.78,$170.39
08/08/2024,$172.37,5112483,$170.21,$173.00,$169.81
08/07/2024,$171.79,5429077,$171.62,$174.39,$171.33
08/06/2024,$172.49,7287051,$173.28,$176.21,$172.36
08/05/2024,$174.04,7502535,$179.52,$180.91,$173.16
08/02/2024,$178.04,6856083,$178.84,$179.95,$173.84
08/01/2024,$174.96,5994458,$172.53,$175.56,$172.50
07/31/2024,$172.67,6245571,$173.92,$174.69,$172.2557
07/30/2024,$173.18,4994644,$172.69,$173.45,$171.55
07/29/2024,$173.21,4152662,$172.29,$173.49,$170.85
07/26/2024,$172.75,5746255,$170.73,$172.76,$170.73
07/25/2024,$171.02,6270889,$169.49,$173.49,$168.86
07/24/2024,$168.17,5867046,$166.28,$168.67,$164.95
07/23/2024,$166.28,3344293,$167.79,$168.36,$166.18
07/22/2024,$167.66,5308367,$169.26,$169.71,$167.35
07/19/2024,$169.36,5332848,$170.28,$170.485,$168.47
07/18/2024,$170.37,6228568,$168.71,$172.67,$168.39
07/17/2024,$169.89,7670981,$166.04,$170.07,$165.8913
07/16/2024,$164.76,4461676,$163.41,$165.04,$162.84
07/15/2024,$163.86,4551803,$166.01,$166.2981,$163.65
07/12/2024,$166.38,6677035,$164.96,$168.03,$164.96
07/11/2024,$163.95,10259330,$159.10,$164.89,$158.03
07/10/2024,$163.59,7372266,$161.84,$163.77,$160.66
07/09/2024,$161.90,5801833,$162.19,$162.56,$161.50
07/08/2024,$162.12,5268800,$163.06,$163.75,$161.92
07/05/2024,$164.39,4208217,$162.64,$164.52,$162.47
07/03/2024,$162.60,2879575,$162.92,$164.13,$161.96
07/02/2024,$163.58,4650803,$163.50,$164.47,$162.32
07/01/2024,$162.89,4508019,$165.04,$166.06,$162.58
06/28/2024,$164.93,8756033,$165.30,$166.22,$164.62
06/27/2024,$166.26,4326460,$166.63,$167.25,$165.27
06/26/2024,$166.74,4778280,$165.89,$167.01,$164.85
06/25/2024,$167.35,4220902,$168.08,$168.96,$167.25
06/24/2024,$168.08,4476929,$167.50,$169.6099,$167.09
06/21/2024,$167.28,10899240,$167.21,$169.07,$166.45
06/20/2024,$166.68,4942417,$165.73,$167.64,$165.73
06/18/2024,$166.48,3519509,$166.10,$167.07,$165.25
06/17/2024,$166.14,5412239,$163.49,$166.41,$162.79
06/14/2024,$163.81,3603340,$163.13,$164.39,$162.5291
06/13/2024,$163.33,5432649,$162.08,$163.56,$161.54
06/12/2024,$163.83,6281102,$164.88,$165.3275,$162.4448
06/11/2024,$165.07,8284512,$164.87,$165.46,$163.51
06/10/2024,$165.90,9432639,$170.11,$170.37,$165.62
06/07/2024,$171.04,3521165,$171.50,$172.51,$170.75
06/06/2024,$173.20,5536694,$174.00,$174.40,$172.675
06/05/2024,$173.49,5370688,$173.84,$173.97,$171.96
06/04/2024,$173.89,4619065,$171.21,$174.39,$170.815
06/03/2024,$171.23,5032377,$172.72,$172.90,$171.03
05/31/2024,$172.90,8155606,$169.89,$172.97,$169.52
05/30/2024,$170.48,3903880,$171.35,$171.71,$170.40
05/29/2024,$171.15,5352113,$172.43,$173.18,$170.72
05/28/2024,$173.38,6178117,$176.23,$176.275,$171.90
05/24/2024,$177.99,3447399,$179.37,$179.42,$177.87
05/23/2024,$179.27,4009026,$181.33,$181.89,$179.04
05/22/2024,$182.09,4046993,$180.45,$182.13,$179.98
05/21/2024,$181.08,3288063,$181.50,$181.58,$179.80
05/20/2024,$180.31,3221153,$182.09,$182.13,$179.9123
05/17/2024,$182.19,4449107,$182.59,$182.96,$181.83
05/16/2024,$183.11,5984739,$179.63,$183.41,$179.46
05/15/2024,$179.46,4785118,$179.24,$180.40,$179.00
05/14/2024,$179.87,3508716,$181.05,$181.28,$178.60
05/13/2024,$180.90,4408084,$180.51,$181.35,$179.85
05/10/2024,$179.79,4201814,$177.95,$180.16,$177.61
05/09/2024,$178.06,2421414,$177.26,$178.43,$177.09
05/08/2024,$177.41,3400880,$178.71,$178.88,$177.19
05/07/2024,$178.02,3707968,$177.00,$178.15,$176.51
05/06/2024,$175.82,3576284,$176.76,$176.76,$175.13
05/03/2024,$176.15,3492120,$175.80,$176.49,$175.00
05/02/2024,$175.45,3964773,$175.58,$176.32,$174.55
05/01/2024,$175.15,4340495,$175.46,$176.23,$173.66
04/30/2024,$175.91,4465331,$176.27,$176.47,$174.8404
04/29/2024,$176.14,3224473,$175.50,$176.315,$175.02
04/26/2024,$175.58,4472102,$174.44,$178.57,$174.34
04/25/2024,$176.68,7441497,$178.28,$180.63,$175.82
04/24/2024,$177.41,10016690,$168.50,$178.09,$167.65
04/23/2024,$171.22,9145041,$174.70,$174.88,$170.14
