Date,Close/Last,Volume,Open,High,Low
10/01/2024,$166.99,28338120,$167.685,$169.16,$164.58
09/30/2024,$165.85,20481300,$163.32,$166.15,$163.26
09/27/2024,$163.95,21101310,$162.81,$165.70,$162.6261
09/26/2024,$162.73,20319340,$163.64,$164.08,$162.28
09/25/2024,$161.49,18869200,$161.47,$162.81,$161.30
09/24/2024,$162.29,23332150,$163.03,$163.2158,$160.69
09/23/2024,$161.85,24150850,$164.35,$165.49,$161.67
09/20/2024,$163.59,40896440,$163.50,$163.73,$162.06
09/19/2024,$162.14,26587730,$163.71,$163.79,$161.34
09/18/2024,$159.81,23677320,$159.86,$160.50,$158.595
09/17/2024,$159.32,20715610,$159.02,$160.55,$158.375
09/16/2024,$158.06,18379780,$157.31,$158.25,$156.60
09/13/2024,$157.46,29591150,$155.43,$158.38,$155.21
09/12/2024,$154.69,29695050,$153.80,$154.82,$152.65
09/11/2024,$151.16,29607690,$149.92,$151.50,$147.52
09/10/2024,$148.66,31118770,$150.45,$151.27,$148.34
09/09/2024,$148.71,39260450,$152.51,$153.40,$147.215
09/06/2024,$150.92,37912130,$157.30,$157.83,$150.55
09/05/2024,$157.24,18688750,$156.30,$159.45,$155.9805
09/04/2024,$156.45,19353760,$156.655,$159.00,$155.9616
09/03/2024,$157.36,38945300,$161.72,$161.85,$156.48
08/30/2024,$163.38,22123810,$162.615,$163.66,$161.6925
08/29/2024,$161.78,19699770,$164.31,$165.97,$160.25
08/28/2024,$162.85,16407440,$165.035,$165.60,$161.5284
08/27/2024,$164.68,11821940,$165.835,$166.4426,$164.46
08/26/2024,$166.16,14190420,$166.38,$167.55,$164.455
08/23/2024,$165.62,13955740,$164.72,$166.18,$163.83
08/22/2024,$163.80,22493280,$167.26,$167.59,$163.31
08/21/2024,$165.85,22902000,$165.15,$166.85,$164.67
08/20/2024,$167.18,18341530,$166.90,$168.64,$166.82
08/19/2024,$166.67,22416190,$165.28,$166.69,$164.26
08/16/2024,$162.96,24208650,$161.47,$165.06,$161.13
08/15/2024,$161.30,31524250,$160.50,$161.635,$159.61
08/14/2024,$160.37,40591130,$162.40,$163.22,$157.71
08/13/2024,$164.16,18551690,$163.41,$164.73,$162.97
08/12/2024,$162.29,15895290,$164.35,$164.90,$161.84
08/09/2024,$163.67,28602290,$160.01,$163.79,$159.06
08/08/2024,$162.03,25578840,$160.51,$163.69,$160.21
08/07/2024,$158.94,25138570,$161.25,$162.98,$158.47
08/06/2024,$158.29,49004560,$159.33,$160.57,$156.41
08/05/2024,$159.25,53630670,$155.50,$164.43,$154.93
08/02/2024,$166.66,29130100,$166.44,$168.51,$164.67
08/01/2024,$170.76,24531390,$170.25,$174.05,$168.88
07/31/2024,$171.54,25729090,$173.24,$174.245,$170.01
07/30/2024,$170.29,18959690,$170.24,$171.2299,$168.44
07/29/2024,$169.53,20293820,$168.83,$170.43,$167.99
07/26/2024,$167.00,41336890,$167.15,$168.09,$164.06
07/25/2024,$167.28,44851970,$172.52,$173.42,$167.19
07/24/2024,$172.63,49585200,$173.60,$176.19,$171.82
07/23/2024,$181.79,36352710,$182.05,$183.61,$181.54
07/22/2024,$181.67,24100350,$180.59,$182.70,$180.23
07/19/2024,$177.66,18881890,$178.88,$180.29,$177.13
07/18/2024,$177.69,25315730,$181.93,$182.50,$176.47
07/17/2024,$181.02,20734070,$182.965,$183.55,$179.90
07/16/2024,$183.92,18290720,$187.36,$188.68,$183.3736
07/15/2024,$186.53,16474040,$184.92,$188.24,$184.92
07/12/2024,$185.07,22898410,$185.08,$187.11,$184.49
07/11/2024,$185.57,25625780,$189.845,$190.86,$185.08
07/10/2024,$191.18,15952450,$189.15,$191.75,$189.03
07/09/2024,$188.98,15141310,$190.31,$191.36,$188.72
07/08/2024,$189.03,21035890,$189.895,$190.17,$187.78
07/05/2024,$190.60,20967450,$185.855,$190.86,$185.80
07/03/2024,$185.82,10242130,$184.85,$186.09,$184.00
07/02/2024,$185.24,17372490,$182.05,$185.57,$181.56
07/01/2024,$182.99,16006130,$183.03,$183.88,$181.30
06/28/2024,$182.15,29156640,$184.32,$185.13,$181.96
06/27/2024,$185.41,18848880,$184.18,$186.05,$184.02
06/26/2024,$183.88,19838970,$182.63,$184.51,$182.48
06/25/2024,$184.03,23235590,$179.62,$184.29,$179.42
06/24/2024,$179.22,18298010,$180.16,$180.89,$178.67
06/21/2024,$179.63,58582740,$177.00,$180.85,$176.61
06/20/2024,$176.30,20160090,$175.37,$177.29,$174.99
06/18/2024,$175.09,21869860,$177.14,$177.385,$174.1042
06/17/2024,$177.24,19618500,$175.46,$178.36,$174.81
06/14/2024,$176.79,18063560,$174.22,$177.0623,$174.15
06/13/2024,$175.16,20913300,$176.11,$176.74,$174.88
06/12/2024,$177.79,27864740,$178.25,$180.41,$176.11
06/11/2024,$176.62,21540580,$176.22,$176.84,$173.7701
06/10/2024,$175.01,23779220,$174.97,$177.06,$172.76
06/07/2024,$174.46,19661400,$177.05,$177.87,$174.30
06/06/2024,$176.73,23251010,$175.895,$177.15,$175.75
06/05/2024,$175.41,22068520,$175.20,$176.645,$173.9339
06/04/2024,$173.79,26879600,$173.28,$173.845,$171.89
06/03/2024,$173.17,27459120,$172.54,$174.525,$171.16
05/31/2024,$172.50,37638880,$171.86,$173.06,$169.44
05/30/2024,$172.11,22958680,$175.20,$175.22,$171.79
05/29/2024,$175.90,23388690,$175.43,$176.836,$174.72
05/28/2024,$176.40,20572160,$174.45,$177.27,$174.365
05/24/2024,$174.99,16579440,$174.98,$175.77,$173.65
05/23/2024,$173.55,21024940,$177.07,$178.25,$172.95
05/22/2024,$176.38,17880040,$176.644,$177.15,$175.21
05/21/2024,$177.85,16989370,$176.90,$178.15,$175.81
05/20/2024,$176.92,22554400,$176.192,$178.77,$176.08
05/17/2024,$176.06,24479260,$174.18,$176.265,$173.69
05/16/2024,$174.18,27867950,$173.29,$175.115,$172.69
05/15/2024,$172.51,26948370,$170.63,$172.65,$170.51
05/14/2024,$170.34,25127140,$169.77,$171.25,$168.80
05/13/2024,$169.14,31327600,$164.26,$169.28,$164.00
05/10/2024,$168.65,29799930,$168.025,$169.85,$166.19
05/09/2024,$169.96,15346700,$169.39,$170.69,$168.18
05/08/2024,$169.38,19569150,$169.00,$170.15,$168.735
05/07/2024,$171.25,28039700,$168.50,$171.76,$168.39
05/06/2024,$168.10,21871280,$167.46,$168.14,$166.03
05/03/2024,$167.24,34662430,$167.56,$167.96,$163.05
05/02/2024,$166.62,24294550,$164.785,$166.73,$163.89
05/01/2024,$163.86,33493150,$164.30,$167.12,$163.09
04/30/2024,$162.78,33562860,$165.612,$168.10,$162.60
04/29/2024,$166.15,45610020,$169.058,$169.55,$165.21
04/26/2024,$171.95,64665300,$174.37,$174.71,$169.65
04/25/2024,$156.00,57109730,$151.33,$156.49,$150.87
04/24/2024,$159.13,22779110,$157.49,$159.565,$157.165
04/23/2024,$158.26,21151570,$156.96,$158.97,$156.28
04/22/2024,$156.28,26446210,$154.31,$157.64,$154.06
04/19/2024,$154.09,32615640,$156.20,$156.36,$152.30
04/18/2024,$156.01,19883040,$155.34,$156.94,$154.62
04/17/2024,$155.47,21763130,$155.62,$157.08,$154.58
04/16/2024,$154.40,20779500,$154.19,$155.65,$153.43
04/15/2024,$154.86,27136470,$158.86,$159.24,$154.59
04/12/2024,$157.73,25353750,$157.96,$160.2225,$157.14
04/11/2024,$159.41,27166430,$156.91,$159.68,$156.46
04/10/2024,$156.14,22838630,$156.21,$156.61,$154.68
04/09/2024,$156.60,31113010,$156.085,$158.56,$155.19
04/08/2024,$154.85,20701970,$152.78,$155.27,$152.61
04/05/2024,$152.50,23459250,$150.03,$153.42,$149.60
04/04/2024,$150.53,34724740,$153.50,$154.77,$150.45
04/03/2024,$154.92,24704990,$153.60,$155.08,$152.73
04/02/2024,$154.56,24585990,$153.50,$154.70,$152.15
04/01/2024,$155.49,31730850,$150.69,$155.74,$150.61
03/28/2024,$150.93,24485390,$150.85,$151.43,$150.17
03/27/2024,$150.87,22879180,$151.18,$151.635,$148.90
03/26/2024,$150.67,22149140,$150.22,$152.256,$149.98
03/25/2024,$150.07,19229290,$149.94,$150.375,$147.82
03/22/2024,$150.77,29211770,$149.12,$151.58,$148.98
03/21/2024,$147.60,24755600,$149.47,$150.37,$146.9001
03/20/2024,$148.74,21311500,$148.00,$148.86,$146.735
03/19/2024,$147.03,24070440,$148.16,$148.7913,$146.08
03/18/2024,$147.68,69273700,$148.61,$152.15,$147.17
03/15/2024,$141.18,49475420,$142.50,$143.18,$140.03
03/14/2024,$143.10,42753390,$141.19,$143.585,$140.455
03/13/2024,$139.79,23347210,$139.00,$141.09,$138.99
03/12/2024,$138.50,27563350,$137.03,$139.375,$137.03
03/11/2024,$137.67,32437770,$136.13,$139.095,$136.13
03/08/2024,$135.41,39370390,$134.21,$138.085,$134.00
03/07/2024,$134.38,37738210,$132.795,$134.94,$131.61
03/06/2024,$131.40,35318610,$133.12,$133.58,$130.85
03/05/2024,$132.67,40194760,$131.88,$133.24,$130.665
03/04/2024,$133.35,55999420,$135.66,$135.66,$131.91
03/01/2024,$137.14,31151120,$138.43,$138.87,$136.92
02/29/2024,$138.46,42132950,$137.28,$138.86,$136.40
02/28/2024,$136.38,37328560,$137.90,$138.01,$135.41
02/27/2024,$138.88,33099190,$138.02,$139.25,$137.09
02/26/2024,$137.57,53641800,$142.14,$142.44,$137.39
02/23/2024,$143.96,19493750,$143.67,$144.68,$143.43
02/22/2024,$144.09,27191890,$144.93,$145.00,$142.80
02/21/2024,$142.55,23315690,$141.45,$142.69,$140.675
02/20/2024,$141.12,24935710,$139.655,$142.08,$139.49
02/16/2024,$140.52,31468930,$142.99,$143.19,$140.14
02/15/2024,$142.77,37590700,$143.14,$143.52,$140.46
02/14/2024,$145.94,22704170,$146.08,$146.52,$144.094
02/13/2024,$145.14,27837730,$144.92,$146.67,$143.69
02/12/2024,$147.53,21564090,$148.42,$149.335,$147.37
02/09/2024,$149.00,26829500,$146.68,$149.44,$146.18
02/08/2024,$145.91,22563760,$145.83,$146.33,$145.105
02/07/2024,$145.54,25208860,$144.76,$145.615,$143.925
02/06/2024,$144.10,29128200,$144.65,$145.36,$143.19
02/05/2024,$143.68,38505410,$142.82,$145.47,$142.78
02/02/2024,$142.38,62499570,$139.26,$142.62,$136.50
02/01/2024,$141.16,40466550,$142.12,$143.06,$140.79
01/31/2024,$140.10,71910040,$143.62,$144.00,$139.87
01/30/2024,$151.46,36331830,$152.80,$153.62,$151.185
01/29/2024,$153.51,27784260,$152.06,$153.78,$151.43
